ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector
DRI,Consumer Cyclical,20.856459,1.8731824,11.262983,1.98,790974976.0,0.36,-22.71177059574468
DDOG,Technology,474.59183,21.050838,20.748573,1.43,1051412352.0,14.985,422.72248005263157
DVA,Healthcare,14.838273,0.7980439,-14.6484995,0.55,1042460032.0,0.558,-18.328200096153843
DECK,Consumer Cyclical,12.640114,2.189341,5.278603,1.12,871420352.0,0.011,-30.928115595744682
DE,Industrials,35.180737,3.5408866,6.1160088,1.33,1098749952.0,-0.085,-0.6225125733333385
DELL,Technology,34.61624,2.0964596,-201.00784,0.72,5434124800.0,2.825,-17.253109947368422
DVN,Energy,10.717391,2.8874927,1.3579396,2.92,782625024.0,0.44,-9.122920619047619
DXCM,Healthcare,35.66008,6.8513017,12.9887705,1.7,1021162496.0,0.436,2.493606903846157
FANG,Energy,40.11787,3.6367412,1.5621508,22.07,5035500032.0,1.795,20.277558380952385
DLR,Real Estate,245.94937,10.832122,2.6923292,13.92,3768482048.0,-0.587,191.26894673214287
DG,Consumer Defensive,17.055162,0.61748385,3.0077326,1.75,1882562304.0,0.124,-8.89656888
DLTR,Consumer Defensive,20.584936,1.2499976,7.083379,1.64,1443624960.0,0.095,-5.3667948800000005
D,Utilities,23.34602,3.2751043,2.125709,2.91,-9181124608.0,-0.58,2.7450503548387104
DPZ,Consumer Cyclical,18.965967,2.200069,-2.7765136,1.68,531496512.0,0.068,-24.602262595744683
DASH,Consumer Cyclical,115.8125,6.096936,9.710467,5.04,5147500032.0,-0.3,72.24427040425532
DOV,Industrials,24.140099,3.1969218,3.4942834,1.67,906472128.0,0.141,-11.66315057333334
DHI,Consumer Cyclical,14.044806,1.2356339,1.7363993,1.28,2413900032.0,-0.048,-29.52342359574468
DTE,Utilities,21.859175,1.745968,2.3662305,1.96,-2596624896.0,0.224,1.2582053548387115
DUK,Utilities,18.477411,2.9162474,1.7795087,2.46,-4477374976.0,0.106,-2.123558645161289
DD,Basic Materials,59.424896,2.6757371,1.3579437,1.72,1835250048.0,1.496,-0.805310200000001
ETN,Industrials,42.90186,5.371966,7.9638333,3.05,3106125056.0,-0.159,7.09861042666666
EBAY,Consumer Cyclical,21.97689,3.8767033,10.17805,1.57,1579624960.0,0.55,-21.59133959574468
ECL,Basic Materials,37.782555,4.6849875,7.8472266,2.95,1474824960.0,0.033,-22.447651199999996
EIX,Utilities,7.704851,1.4791852,1.646706,3.37,82375000.0,0.551,-12.89611864516129
EW,Healthcare,53.47024,7.9508023,4.8780885,2.22,1232412544.0,-0.254,20.303766903846153
ELV,Healthcare,17.542274,0.42732462,1.9145256,1.41,4306375168.0,-0.131,-15.624199096153845
EME,Industrials,24.491135,1.8675189,8.540114,0.4,978281600.0,0.348,-11.31211457333334
EMR,Industrials,33.85558,4.6309733,4.2348433,1.82,3706249984.0,0.23,-1.9476695733333358
