ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score
LMT,Industrials,20.627907,1.6746069,14.658464,1.22,5562625024.0,4.438,-14.034815173333328,True,35.36780542210217,560.1099853515625,526.7320666503906,539.8929325866699,True,True,65.5930431570078,True,613697.0,1349826.5666666667,False,8.946342370170292,75
REGN,Healthcare,17.24353,4.9630876,2.2907484,1.23,3273349888.0,-0.072,-15.067057074074071,True,35.32378915165928,710.6787719726562,640.4647766113281,707.2516110229492,True,True,68.52890402695844,True,554262.0,899468.7333333333,False,8.872981919432128,75
J,Industrials,39.399406,1.1935741,4.779971,0.43,512446368.0,,4.73668382666667,False,35.3144589080006,132.9550018310547,125.12158615112304,133.5118478012085,True,False,62.689233565335925,True,263995.0,1071476.5,False,25.52409818000101,50
AVGO,Technology,64.6175,24.442293,21.036625,0.43,27212249088.0,0.854,-44.240306280487786,True,35.3144589080006,387.0,395.4386962890625,364.71774017333985,False,True,44.65595361831326,True,9527431.0,23773391.033333335,False,25.52409818000101,50
SBUX,Consumer Cyclical,81.40909,3.1834435,-14.464934,1.26,-1304087552.0,0.326,38.53099097115385,False,35.19593236608705,107.43000030517578,102.39700012207031,94.06410606384277,True,True,54.10404022674733,False,11905284.0,7317616.133333334,True,8.659887276811753,75
WTW,Financial Services,19.421947,3.1582863,3.9113839,1.27,2052125056.0,0.33,-0.6734666869565231,True,35.154655766020426,333.5,272.9711724853516,296.63965156555173,True,True,77.13155796812741,True,489975.0,619092.5,False,8.59109294336738,75
LH,Healthcare,27.633629,1.8103054,2.9442382,1.3,1142537472.0,0.329,-4.676958074074072,True,35.034636113519014,312.385009765625,272.8207080078125,267.08372940063475,True,True,76.43211901008742,True,556030.0,741861.0,False,8.391060189198356,75
XOM,Energy,26.223906,1.9804987,2.5381696,1.32,11630499840.0,-0.434,-74.61912794285715,True,34.957653811156995,155.61000061035156,146.50999938964844,137.79694877624513,True,True,79.90701800230546,True,3899014.0,16018827.133333333,False,8.262756351928328,75
L,Financial Services,14.74491,1.2880143,1.2750005,1.32,2084000000.0,-0.063,-5.350503686956522,True,34.957653811156995,115.87999725341797,111.31771911621094,107.28234912872314,True,True,52.800498959061535,True,215127.0,854557.5666666667,False,8.262756351928328,75
CDW,Technology,17.525578,0.80253065,7.2072225,1.33,884099968.0,0.077,-91.3322282804878,True,34.920030881431195,144.35000610351562,131.19437713623046,131.79478534698487,True,True,49.95392476288217,True,366511.0,1903587.0333333334,False,8.200051469051996,75
PRU,Financial Services,12.6343975,0.6732583,1.3325948,1.33,10378999808.0,-0.143,-7.461016186956522,True,34.920030881431195,122.72000122070312,110.06800582885742,103.77775745391845,True,True,71.70702404498503,True,630302.0,1789450.0666666667,False,8.200051469051996,75
PCAR,Industrials,27.783157,2.496926,3.5152628,1.35,23981574144.0,0.042,-6.879565173333329,True,34.846457152189636,132.30999755859375,120.5700001525879,115.00593494415283,True,True,63.930878470474276,True,1287800.0,3543893.3333333335,False,8.077428586982727,75
ABNB,Consumer Cyclical,37.174072,7.065322,11.730948,1.36,3191000064.0,0.06,-5.704027028846156,True,34.81048176252372,151.2794952392578,140.76919006347657,132.3795724105835,True,True,54.0889603957841,True,767636.0,3627291.2,False,8.017469604206209,75
BALL,Consumer Cyclical,18.871721,1.2610036,3.0766673,1.37,403500000.0,0.219,-24.006378028846157,True,34.77503156102812,64.83999633789062,59.27376655578613,56.87494701385498,True,True,62.96294784604705,True,396725.0,2487290.8333333335,False,7.958385935046867,75
WAB,Industrials,39.02957,4.094185,4.446112,1.37,1101374976.0,0.189,4.366847826666671,False,34.77503156102812,290.1000061035156,268.33690032958987,241.86109519958495,True,True,67.86199739617729,True,359946.0,997181.5333333333,False,7.958385935046867,75
