ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,headline_count,sentiment_score,sentiment_norm,macro_adjustment
PRU,Financial Services,12.705459,0.677045,1.3400898,1.33,10378999808.0,-0.143,-7.4800354942029,True,37.62938438098119,123.37999725341795,110.08120574951172,103.78105739593506,True,True,72.76860765906358,True,1028945.0,1802738.1666666667,False,8.200051469051996,75,,,53.446806099538925,-3
PCAR,Industrials,28.190527,2.533537,3.5668051,1.35,23981574144.0,0.042,-6.613397200000005,True,37.57420408405002,134.0500030517578,120.60480026245118,115.01463485717774,True,True,67.95454039718487,True,2191152.0,3574005.066666667,False,8.077428586982727,75,,,53.446806099538925,-3
ABNB,Consumer Cyclical,37.420982,7.11225,11.8088665,1.36,3191000064.0,0.06,-5.207457538461533,True,37.54722254180058,151.52499389648438,140.7741000366211,132.38079990386962,True,True,54.500386256638926,True,1231730.0,3642761.0,False,8.017469604206209,75,,,53.446806099538925,-3
BALL,Consumer Cyclical,18.96793,1.2674323,3.0923522,1.37,403500000.0,0.219,-23.660509538461536,True,37.52063489067888,64.98999786376953,59.27676658630371,56.875696926116944,True,True,63.749992450080725,True,617068.0,2494635.6,False,7.958385935046867,75,,,53.446806099538925,-3
WAB,Industrials,39.255375,4.1178713,4.471835,1.37,1101374976.0,0.189,4.451450799999996,False,37.52063489067888,291.79998779296875,268.3708999633789,241.86959510803223,True,True,69.29967480019177,True,580236.0,1004524.5333333332,False,7.958385935046867,75,,,53.446806099538925,-3
SWK,Industrials,39.077866,0.9721261,1.6510823,1.39,1468225024.0,2.478,4.273941799999996,False,37.46860725682921,95.4499969482422,85.28902130126953,76.68586740493774,True,True,64.94419090212355,True,1465288.0,1790186.2666666666,False,7.842768970936502,75,,,53.446806099538925,-3
CTVA,Basic Materials,48.627026,3.3633544,2.4742153,1.4,2576124928.0,0.121,8.15512464705882,False,37.44315087883848,89.87000274658203,81.98663192749024,74.90982767105102,True,True,66.0045787983452,True,2636222.0,3989897.4,False,7.786199242068214,75,,,53.446806099538925,-3
DE,Industrials,34.038506,3.4300208,5.9207892,1.44,1098749952.0,-0.085,-0.7654182000000063,True,37.34486097492984,600.030029296875,587.36875,544.5140306091308,True,True,55.06813793880973,True,596175.0,1190399.1666666667,False,7.567777233382329,75,,,53.446806099538925,-3
RCL,Consumer Cyclical,19.780592,4.5818458,8.362292,1.46,-1516249984.0,-0.046,-22.847847538461536,True,37.29773567853528,320.3099975585937,291.94842346191405,284.1090015411377,True,True,72.66477838714428,True,1278475.0,2639565.833333333,False,7.463054352505534,75,,,53.446806099538925,-3
BRO,Financial Services,22.583065,3.5497422,1.8809707,1.51,1642749952.0,0.071,2.397570505797102,False,37.18538397852176,70.8499984741211,63.14840034484863,70.7873897743225,True,True,56.637523847804566,True,2454419.0,3055973.966666667,False,7.2133839080310596,75,,,53.446806099538925,-3
